City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,floro,61.5996,5.0328,3.98,100,100,3.6,NO,1733866246
302,balqash,46.8481,74.995,-13.07,69,0,1.89,KZ,1733866247
303,puerto baquerizo moreno,-0.9,-89.6,25.55,73,75,7.2,EC,1733866248
304,suva,-18.1416,178.4415,27.71,83,40,3.09,FJ,1733866249
305,cruzeiro do sul,-29.5128,-51.9853,24.73,77,85,2.3,BR,1733866250
306,tharad,24.3961,71.6267,13.02,34,1,2.46,IN,1733866251
307,ghat,24.9647,10.1728,16.89,12,100,2.31,LY,1733866252
308,lospalos,-8.5186,127.0025,23.99,93,100,2.41,TL,1733866253
309,leava,-14.3,-178.1667,27.09,80,100,3.99,WF,1733866254
310,boguchany,58.3814,97.4531,-16.26,86,99,3.7,RU,1733866255
311,novofedorivka,46.1713,32.3178,11.36,94,100,9.15,UA,1733866256
312,mossel bay,-34.1831,22.146,20.17,75,40,3.11,ZA,1733866258
313,crane,31.3974,-102.3501,10.27,25,41,7.9,US,1733866259
314,badagry,6.4167,2.8833,26.07,82,14,3.33,NG,1733866260
315,chui,-33.6971,-53.4616,18.66,72,0,3.37,UY,1733866261
316,tutayev,57.8853,39.5406,-3.36,86,93,5.12,RU,1733866262
317,ostersund,63.1792,14.6357,3.25,73,75,9.26,SE,1733866263
318,kushk,33.2957,61.9522,0.64,53,1,5.06,AF,1733866264
319,hadibu,12.65,54.0333,24.54,68,57,6.76,YE,1733866266
320,aripuana,-9.1667,-60.6333,28.28,70,55,1.25,BR,1733866267
321,inarajan village,13.2736,144.7484,26.54,93,80,7.41,GU,1733866268
322,hithadhoo,-0.6,73.0833,28.21,73,96,7.52,MV,1733866269
323,yuzhno-kurilsk,44.0306,145.8556,-1.28,70,97,2.63,RU,1733866270
324,repalle,16.0167,80.85,22.83,89,100,2.71,IN,1733866271
325,lakhdenpokh'ya,61.5198,30.1992,2.68,94,99,5.0,RU,1733866272
326,santa terezinha,-29.9002,-50.0904,20.02,88,89,7.88,BR,1733866273
327,mahibadhoo,3.7833,72.9667,27.54,69,41,1.18,MV,1733866274
328,san antonio de pale,-1.4014,5.6325,26.26,82,64,2.97,GQ,1733866275
329,les avirons,-21.2418,55.3394,23.05,78,0,6.69,RE,1733866276
330,abepura,-2.6333,140.5833,24.45,94,20,1.03,ID,1733866278
331,chipinge,-20.1883,32.6236,19.12,54,1,1.97,ZW,1733866279
332,ulsteinvik,62.3432,5.8487,7.64,89,100,1.69,NO,1733866280
333,marquette,46.5333,-87.6335,-3.99,81,100,1.34,US,1733866281
334,marolambo,-20.05,48.1167,21.44,92,88,0.17,MG,1733866283
335,zhalantun,48.0,122.7167,-14.75,70,8,7.04,CN,1733866284
336,gamba,-2.65,10.0,25.39,87,98,1.7,GA,1733866285
337,malvan,16.0667,73.4667,24.84,69,9,2.89,IN,1733866287
338,broome,42.2506,-75.833,9.23,95,100,5.66,US,1733866288
339,shimoda,34.6667,138.95,8.61,72,96,4.14,JP,1733866289
340,nova xavantina,-14.6667,-52.35,25.42,83,49,0.53,BR,1733866290
341,udachny,66.4167,112.4,-27.71,100,96,1.59,RU,1733866292
342,xinzhi,36.4989,111.7047,0.77,90,88,0.56,CN,1733866294
343,luanda,-8.8368,13.2343,26.0,94,75,0.51,AO,1733866159
344,lagoa,39.05,-27.9833,17.23,82,99,7.67,PT,1733866296
345,kwang binh,17.4833,106.6,22.18,95,100,1.26,VN,1733866297
346,pocone,-16.2567,-56.6228,30.89,55,79,0.06,BR,1733866299
347,kiffa,16.6166,-11.4045,24.41,14,99,3.27,MR,1733866300
348,bridgewater,44.3835,-64.5155,3.82,94,100,7.2,CA,1733866300
349,bonanza,14.0289,-84.591,25.3,83,26,1.78,NI,1733866302
350,isabela,6.7085,121.9711,25.03,93,100,3.03,PH,1733866303
